user_id,session_id,event_id,event_table_name,time,event_date,event_rank
1001,5001,e1001,page_view,2023-05-01 08:15:23,2023-05-01,1
1001,5001,e1002,search,2023-05-01 08:16:45,2023-05-01,2
1001,5001,e1003,product_view,2023-05-01 08:18:12,2023-05-01,3
1001,5001,e1004,add_to_cart,2023-05-01 08:20:30,2023-05-01,4
1001,5001,e1005,checkout,2023-05-01 08:25:18,2023-05-01,5
1001,5001,e1006,purchase,2023-05-01 08:28:45,2023-05-01,6
1001,5013,e1007,page_view,2023-05-03 08:15:23,2023-05-03,1
1001,5013,e1008,search,2023-05-03 08:16:45,2023-05-03,2
1001,5013,e1009,product_view,2023-05-03 08:18:12,2023-05-03,3
1001,5013,e1010,add_to_cart,2023-05-03 08:20:30,2023-05-03,4
1001,5013,e1011,checkout,2023-05-03 08:25:18,2023-05-03,5
1001,5013,e1012,purchase,2023-05-03 08:28:45,2023-05-03,6
1002,5002,e2001,page_view,2023-05-01 09:05:10,2023-05-01,1
1002,5002,e2002,search,2023-05-01 09:07:22,2023-05-01,2
1002,5002,e2003,product_view,2023-05-01 09:10:15,2023-05-01,3
1002,5002,e2004,add_to_cart,2023-05-01 09:12:30,2023-05-01,4
1002,5002,e2005,checkout,2023-05-01 09:15:45,2023-05-01,5
1002,5003,e2006,page_view,2023-05-01 14:30:10,2023-05-01,1
1002,5003,e2007,search,2023-05-01 14:32:22,2023-05-01,2
1002,5003,e2008,product_view,2023-05-01 14:35:15,2023-05-01,3
1002,5014,e2009,page_view,2023-05-03 09:05:10,2023-05-03,1
1002,5014,e2010,search,2023-05-03 09:07:22,2023-05-03,2
1002,5014,e2011,exit,2023-05-03 09:10:15,2023-05-03,3
1003,5004,e3001,page_view,2023-05-01 10:15:23,2023-05-01,1
1003,5004,e3002,search,2023-05-01 10:17:45,2023-05-01,2
1003,5004,e3003,product_view,2023-05-01 10:20:12,2023-05-01,3
1003,5004,e3004,add_to_cart,2023-05-01 10:22:30,2023-05-01,4
1003,5004,e3005,checkout,2023-05-01 10:25:18,2023-05-01,5
1003,5004,e3006,purchase,2023-05-01 10:28:45,2023-05-01,6
1003,5015,e3007,page_view,2023-05-03 10:15:23,2023-05-03,1
1003,5015,e3008,search,2023-05-03 10:17:45,2023-05-03,2
1003,5015,e3009,product_view,2023-05-03 10:20:12,2023-05-03,3
1003,5015,e3010,add_to_cart,2023-05-03 10:22:30,2023-05-03,4
1003,5015,e3011,checkout,2023-05-03 10:25:18,2023-05-03,5
1003,5015,e3012,purchase,2023-05-03 10:28:45,2023-05-03,6
1004,5005,e4001,page_view,2023-05-01 11:05:10,2023-05-01,1
1004,5005,e4002,search,2023-05-01 11:07:22,2023-05-01,2
1004,5005,e4003,product_view,2023-05-01 11:10:15,2023-05-01,3
1004,5005,e4004,add_to_cart,2023-05-01 11:12:30,2023-05-01,4
1004,5006,e4005,page_view,2023-05-01 15:30:10,2023-05-01,1
1004,5006,e4006,search,2023-05-01 15:32:22,2023-05-01,2
